id,label,statement,subject,speaker,state_info,party_affiliation
81f884c64a7,1,china is in the south china sea and (building)a military fortress the likes of which perhaps the world has not seen.,"china,foreign-policy,military",donald-trump,new york,republican
30c2723a188,0,"with the resources it takes to execute just over three months of the iraq war, we could fully fund the expansion of health care for needy children that bush vetoed.",health-care,chris-dodd,connecticut,democrat
6936b216e5d,0,the (wisconsin) governor has proposed tax giveaways to corporations.,"corporations,pundits,taxes,abc-news-week",donna-brazile,"washington, d.c.",democrat
b5cd9195738,1,says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,"candidates-biography,children,ethics,families,legal-issues",rebecca-bradley,non-define,none
84f8dac7737,0,"at protests in wisconsin against proposed collective bargaining changes, phony sick notes (were) passed out to excuse striking union members.","health-care,labor,state-budget",republican-party-wisconsin,wisconsin,republican
d22b78a1570,1,ron klein sponsored an amendment that specifically allows price gouging.,candidates-biography,we-love-usa-pac,non-define,none
df58c465da8,0,rhode islands legislature is the strongest in the country.,"legal-issues,state-budget,states",lincoln-chafee,rhode island,democrat
62d339fd0aa,1,because of barack obama the mission in iraq ended.,iraq,barack-obama,illinois,democrat
32c82086791,0,"in the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",immigration,aclu-georgia-foundation,non-define,none
f3aadc05597,0,the top 1/10th of 1 percent today in america owns almost as much wealth as the bottom 90 percent.,"economy,income,retirement,social-security,wealth",bernie-s,vermont,independent
720c4601001,1,"says travis county commissioner gerald daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.","candidates-biography,county-budget",jason-nassour,texas,republican
240047a2e12,0,"says hes arrested more criminals, including thousands of child predators and sex offenders, than any previous texas attorney general.","crime,criminal-justice,job-accomplishments,public-safety",greg-abbott,texas,republican
d77c8f3c216,0,barack obama won't even use the term 'war on terrorism.',"iraq,military,pundits",sean-hannity,non-define,none
f0a129d0471,1,says 80 journalists have been killed in mexico in the last decade.,public-safety,jorge-ramos,florida,journalist
20bbcd1a39c,1,"obamas justice-designate sotomayor threw out (the new haven firefighters) lawsuit in a sneaky, unsigned opinion -- the judicial equivalent of talk to the hand.","legal-issues,pundits,sotomayor-nomination,supreme-court",ann-coulter,new york,republican
40d599b00aa,1,"says jon huntsman supports changes in medicare that would deny guaranteed benefits to 980,000 new hampshire residents.","medicare,new-hampshire-2012",new-hampshire-democratic-party,new hampshire,democrat
3dd85d47616,0,she stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,health-care,hillary-clinton,new york,democrat
